timestamp,open,high,low,close,volume
2024-04-08 15:35:00,189.6700,189.7100,189.5100,189.7100,27119
2024-04-08 15:30:00,189.7800,189.8050,189.6800,189.7000,18997
2024-04-08 15:25:00,189.8200,189.8300,189.6900,189.7800,20261
2024-04-08 15:20:00,189.8700,189.9000,189.7910,189.8100,11638
2024-04-08 15:15:00,189.8100,189.8530,189.7800,189.8400,12685
2024-04-08 15:10:00,189.8700,189.9210,189.7950,189.8200,11686
2024-04-08 15:05:00,189.8340,189.8650,189.6800,189.8600,12917
2024-04-08 15:00:00,189.8450,189.8800,189.7900,189.8300,14836
2024-04-08 14:55:00,189.7300,189.8400,189.6900,189.8300,11091
2024-04-08 14:50:00,189.6900,189.7250,189.6300,189.6950,10190
2024-04-08 14:45:00,189.6100,189.6900,189.5700,189.6900,11664
2024-04-08 14:40:00,189.5700,189.6150,189.5500,189.6150,9308
2024-04-08 14:35:00,189.5050,189.5850,189.5050,189.5800,7821
2024-04-08 14:30:00,189.4920,189.5100,189.4300,189.5000,10335
2024-04-08 14:25:00,189.5400,189.6300,189.4900,189.4900,7979
2024-04-08 14:20:00,189.6260,189.6900,189.5400,189.5400,7191
2024-04-08 14:15:00,189.7400,189.7600,189.6100,189.6160,10756
2024-04-08 14:10:00,189.8300,189.8400,189.7100,189.7100,9284
2024-04-08 14:05:00,189.6500,189.8400,189.6500,189.8400,9884
2024-04-08 14:00:00,189.6800,189.7300,189.6200,189.6400,8419
2024-04-08 13:55:00,189.5200,189.6700,189.4850,189.6500,12203
2024-04-08 13:50:00,189.5350,189.5600,189.4700,189.4900,22352
2024-04-08 13:45:00,189.6500,189.6700,189.5350,189.5350,11372
2024-04-08 13:40:00,189.7000,189.7500,189.6300,189.6600,14003
2024-04-08 13:35:00,189.7350,189.7350,189.6400,189.6700,12934
2024-04-08 13:30:00,189.7950,189.8000,189.7200,189.7650,11097
2024-04-08 13:25:00,189.6440,189.7750,189.6300,189.7750,13127
2024-04-08 13:20:00,189.5750,189.6800,189.5500,189.6500,11158
2024-04-08 13:15:00,189.5100,189.5700,189.4700,189.5700,18165
2024-04-08 13:10:00,189.4400,189.5000,189.4100,189.4650,11223
2024-04-08 13:05:00,189.4600,189.5100,189.3800,189.5000,17222
2024-04-08 13:00:00,189.5800,189.6000,189.4700,189.4800,11074
2024-04-08 12:55:00,189.4000,189.5800,189.3700,189.5650,13401
2024-04-08 12:50:00,189.2700,189.3700,189.2700,189.3700,11380
2024-04-08 12:45:00,189.3620,189.4450,189.2380,189.2380,13739
2024-04-08 12:40:00,189.2500,189.3900,189.2400,189.3600,12470
2024-04-08 12:35:00,189.2850,189.3300,189.2100,189.2800,9417
2024-04-08 12:30:00,189.2700,189.3400,189.2400,189.2850,8973
2024-04-08 12:25:00,189.1500,189.3700,189.1500,189.3000,10796
2024-04-08 12:20:00,189.1450,189.1950,189.0500,189.1200,18941
2024-04-08 12:15:00,188.9700,189.1800,188.9120,189.1400,17073
2024-04-08 12:10:00,189.1150,189.1650,188.9600,188.9850,17246
2024-04-08 12:05:00,189.1500,189.2600,189.1100,189.1300,9161
2024-04-08 12:00:00,189.3600,189.3650,189.1540,189.1730,11094
2024-04-08 11:55:00,189.1900,189.3650,189.1000,189.3470,12908
2024-04-08 11:50:00,189.3000,189.3200,189.1600,189.1600,12704
2024-04-08 11:45:00,189.4350,189.4800,189.3360,189.3600,11012
2024-04-08 11:40:00,189.4500,189.4800,189.3200,189.4350,17381
2024-04-08 11:35:00,189.5500,189.5500,189.2650,189.4200,17491
2024-04-08 11:30:00,189.6750,189.6750,189.5500,189.5500,10874
2024-04-08 11:25:00,189.8800,189.8800,189.6700,189.6900,15923
2024-04-08 11:20:00,189.6050,189.8900,189.5800,189.8800,11782
2024-04-08 11:15:00,189.6800,189.7000,189.5800,189.6200,10853
2024-04-08 11:10:00,189.8350,189.9150,189.6850,189.6850,9128
2024-04-08 11:05:00,189.6500,189.8900,189.6500,189.8900,11490
2024-04-08 11:00:00,189.5600,189.6650,189.4500,189.6400,15634
2024-04-08 10:55:00,189.6600,189.6600,189.5000,189.5600,15940
2024-04-08 10:50:00,189.5400,189.6400,189.4600,189.6400,22738
2024-04-08 10:45:00,189.3700,189.5950,189.3500,189.5200,12546
2024-04-08 10:40:00,189.3400,189.4000,189.2930,189.3500,14127
2024-04-08 10:35:00,189.3500,189.4600,189.3400,189.3500,14183
2024-04-08 10:30:00,189.4600,189.5000,189.3200,189.3610,18501
2024-04-08 10:25:00,189.4420,189.5710,189.4100,189.4640,18525
2024-04-08 10:20:00,189.2500,189.4400,189.2050,189.4400,15033
2024-04-08 10:15:00,189.2000,189.3700,189.1600,189.2150,14168
2024-04-08 10:10:00,189.2350,189.2900,189.0800,189.1700,12717
2024-04-08 10:05:00,189.0900,189.3600,189.0600,189.1900,12453
2024-04-08 10:00:00,189.3700,189.3800,188.9600,189.0950,15756
